,id,name,description,price,quantity
0,1,DKNY Unisex Black & Grey Printed Medium Trolley Bag,"Black and grey printed medium trolley bag, secured with a TSA lockOne handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted inline skate wheelsOne main zip compartment, zip lining, two compression straps with click clasps, one zip compartment on the flap with three zip pocketsWarranty: 5 yearsWarranty provided by Brand Owner / Manufacturer",11745,20
1,2,EthnoVogue Women Beige & Grey Made to Measure Custom Made Kurta Set with Jacket,"Beige & Grey made to measure kurta with churidar and dupattaBeige made to measure calf length kurta, has a V-neck, three-quarter sleeves, lightly padded on bust, flared hem, concealed zip closureGrey solid made to measure churidar, drawstring closureGrey net sequined dupatta, has printed tapingWhat is Made to Measure?Customised Kurta Set according to your Bust and Length. So please refer to the Size Chart to pick your perfect size.How to measure bust?Measure under your arms and around your chest to find your bust size in inchesHow to measure Kurta length?Measure from shoulder till barefoot to find kurta length in",5810,22
2,3,SPYKAR Women Pink Alexa Super Skinny Fit High-Rise Clean Look Stretchable Cropped Jeans,"Pink coloured wash 5-pocket high-rise cropped jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops",899,15
3,4,Raymond Men Blue Self-Design Single-Breasted Bandhgala Suit,"Blue self-design bandhgala suitBlue self-design bandhgala blazer, has a mandarin collar, single breasted with full button placket, long sleeves, three pockets, an attached lining and a double-vented back hemBlue self-design mid-rise trousers, has a zip fly with a button and a hook-and-bar closure, four pockets, a waistband with belt loops",5599,19
4,5,Parx Men Brown & Off-White Slim Fit Printed Casual Shirt,"Brown and off-white printed casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket",759,22
5,6,SHOWOFF Men Brown Solid Slim Fit Regular Shorts,"Brown solid low-rise regular shorts, has four pockets, a button closure",791,10
6,7,Parx Men Blue Slim Fit Checked Casual Shirt,"Blue checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket",719,24
7,8,SPYKAR Women Burgundy Alexa Super Skinny Fit High-Rise Clean Look Stretchable Ankle Jeans,"Burgundy coloured wash 5-pocket high-rise jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops",899,17
8,9,Parx Men Brown Tapered Fit Solid Regular Trousers,Brown solid regular trousers regular trousers,664,16
9,10,DKNY Unisex Black Large Trolley Bag,"Black solid large trolley bag, secured with a TSA lockOne handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted inline skate wheelsOne main zip compartment, zip lining, two compression straps with click clasps and one zip pocketOne exterior zip pocketWarranty: 5 yearsWarranty provided by Brand Owner / Manufacturer",17360,21
10,11,Kenneth Cole Women Navy Blue Solid Backpack,Navy Blue backpackNon-Padded haul loop1 main compartment with zip closurePadded backZip PocketPadded shoulder strap: PaddedWater-resistance: No,2463,21
11,12,Parx Men Green Printed Polo Collar T-shirt,"Green printed T-shirt, has a polo collar, and short sleeves",629,31
12,13,Police Men To Be The King Eau De Toilette 125 ml,To Be The King Eau De Toilette ,2695,11
13,14,Vishudh Women Maroon Printed Kurta with Palazzos,"Maroon printed kurta with palazzos Maroon straight calf length kurta, has a round neck, three-quarter sleeves, straight hem, side slitsMaroon  Printed palazzos, has elasticated waistband, slip-on closure",892,27
